query_line,query_chunk_id,query_text,reference_verse,reference_text,similarity
75,7,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.83704877
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 8:19,Behold the voice of the cry of the daughter of my people because of them that dwell in a far country: Is not the LORD in Zion? is not her king in her? Why have they provoked me to anger with their gra,0.8360305
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.83256644
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Judges 16:17,"That he told her all his heart, and said unto her, There hath not come a razor upon mine head; for I have been a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from ",0.82999384
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.82535344
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.8253187
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,0.81603056
103,10,"That which he most loved I most hated; and the very determination which he expressed to keep me in ignorance only rendered me the more resolute to seek intelligence. In learning to read, therefore, I ",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",0.81432164
75,7,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.81131995
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 8:21,For the hurt of the daughter of my people am I hurt; I am black; astonishment hath taken hold on me.,0.8079362
66,6,Some idea of the splendor of that place sixty years ago has already been given. The contrast between the condition of the slaves and that of their masters was marvelously sharp and striking. There wer,Daniel 4:21,"Whose leaves were fair, and the fruit thereof much, and in it was meat for all; under which the beasts of the field dwelt, and upon whose branches the fowls of the heaven had their habitation: 4:22 It",0.8066197
123,12,"In addition to these opportunities, sleeping as I did in the kitchen loft, a room seldom visited by any of the family, I contrived to get a flour-barrel up there and a chair, and upon the head of that",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.804956
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Jeremiah 31:20,"Is Ephraim my dear son? is he a pleasant child? for since I spake against him, I do earnestly remember him still: therefore my bowels are troubled for him; I will surely have mercy upon him, saith the",0.8025332
240,17,"We were generally a unit, and moved together. Thoughts and sentiments were exchanged between us which might well have been considered incendiary had they been known by our masters. The slaveholder, we",2 Corinthians 12:18,"I desired Titus, and with him I sent a brother. Did Titus make a gain of you? walked we not in the same spirit? walked we not in the",0.7991803
240,17,"We were generally a unit, and moved together. Thoughts and sentiments were exchanged between us which might well have been considered incendiary had they been known by our masters. The slaveholder, we",Jeremiah 40:4,"And now, behold, I loose thee this day from the chains which were upon thine hand. If it seem good unto thee to come with me into Babylon, come; and I will look well unto thee: but if it seem ill unto",0.79861945
195,16,"I say I have no doubt of this; the reason is, that there were not, under the whole heavens, a set of men who cultivated such a dread of labor as did the slaveholders. The charge of laziness against th",Jeremiah 40:4,"And now, behold, I loose thee this day from the chains which were upon thine hand. If it seem good unto thee to come with me into Babylon, come; and I will look well unto thee: but if it seem ill unto",0.7974749
240,17,"We were generally a unit, and moved together. Thoughts and sentiments were exchanged between us which might well have been considered incendiary had they been known by our masters. The slaveholder, we",Isaiah 49:18,"Lift up thine eyes round about, and behold: all these gather themselves together, and come to thee. As I live, saith the LORD, thou shalt surely clothe thee with them all, as with an ornament, and bin",0.797339
195,16,"I say I have no doubt of this; the reason is, that there were not, under the whole heavens, a set of men who cultivated such a dread of labor as did the slaveholders. The charge of laziness against th",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.79709375
283,18,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",0.795557
283,18,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",0.79531395
195,16,"I say I have no doubt of this; the reason is, that there were not, under the whole heavens, a set of men who cultivated such a dread of labor as did the slaveholders. The charge of laziness against th",Deuteronomy 8:15,"Who led thee through that great and terrible wilderness, wherein were fiery serpents, and scorpions, and drought, where there was no water; who brought thee",0.7948224
10,1,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.79241633
195,16,"I say I have no doubt of this; the reason is, that there were not, under the whole heavens, a set of men who cultivated such a dread of labor as did the slaveholders. The charge of laziness against th",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.79236156
169,14,She never allowed me to go there without giving me bread enough to make good the deficiencies of a day or two. Master Thomas at last resolved to endure my behavior no longer; he could keep neither me ,Jeremiah 40:4,"And now, behold, I loose thee this day from the chains which were upon thine hand. If it seem good unto thee to come with me into Babylon, come; and I will look well unto thee: but if it seem ill unto",0.7920839
283,18,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Kings 31:4,"Then said Saul unto his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and thrust me through, and abuse me. But his armourbearer would not; for he was sor",0.79084253
75,7,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Ecclesiastes 2:21,"For there is a man whose labour is in wisdom, and in knowledge, and in equity; yet to a man that hath not laboured therein shall he leave it for his portion. This also is vanity and a great evil.",0.79082394
195,16,"I say I have no doubt of this; the reason is, that there were not, under the whole heavens, a set of men who cultivated such a dread of labor as did the slaveholders. The charge of laziness against th",1 Chronicles 10:4,"Then said Saul to his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid. So Saul took a ",0.7905769
283,18,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",Deuteronomy 8:15,"Who led thee through that great and terrible wilderness, wherein were fiery serpents, and scorpions, and drought, where there was no water; who brought thee",0.7903977
75,7,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Romans 14:4,"Who art thou that judgest another man’s servant? to his own master he standeth or falleth. Yea, he shall be holden up: for God is able to make him stand.",0.78992486
283,18,"In these remarks it is possible I do him injustice. He certainly did not exert his power over me as in the case he might have done, but acted, upon the whole, very generously, considering the nature o",1 Chronicles 10:4,"Then said Saul to his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid. So Saul took a ",0.78950655
50,5,"From my heart I pitied her, and child as I was, and new to such scenes, the shock was tremendous. I was terrified, hushed, stunned and bewildered. The scene here described was often repeated, for Edwa",Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",0.7886305
301,19,"He seemed to me an all-sufficient match to every opponent, whether they spoke in the name of the law or the gospel. His words were full of holy fire, and straight to the point. Something of a hero-wor",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",0.7882259
240,17,"We were generally a unit, and moved together. Thoughts and sentiments were exchanged between us which might well have been considered incendiary had they been known by our masters. The slaveholder, we",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.78804857
41,4,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.7878151
169,14,She never allowed me to go there without giving me bread enough to make good the deficiencies of a day or two. Master Thomas at last resolved to endure my behavior no longer; he could keep neither me ,Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",0.78673446
169,14,She never allowed me to go there without giving me bread enough to make good the deficiencies of a day or two. Master Thomas at last resolved to endure my behavior no longer; he could keep neither me ,Genesis 19:19,"Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me,",0.7864515
240,17,"We were generally a unit, and moved together. Thoughts and sentiments were exchanged between us which might well have been considered incendiary had they been known by our masters. The slaveholder, we",Isaiah 57:13,"When thou criest, let thy companies deliver thee; but the wind shall carry them all away; vanity shall take them: but he that putteth his trust in me shall possess the land, and shall inherit my holy",0.786338
75,7,"Slaveholders are known to have sent spies among their slaves to ascertain, if possible, their views and feelings in regard to their condition; hence the maxim established among them, that ""a still ton",Psalms 15:4,"In whose eyes a vile person is contemned; but he honoureth them that fear the LORD. He that sweareth to his own hurt, and changeth not.",0.7862433
301,19,"He seemed to me an all-sufficient match to every opponent, whether they spoke in the name of the law or the gospel. His words were full of holy fire, and straight to the point. Something of a hero-wor",Isaiah 49:18,"Lift up thine eyes round about, and behold: all these gather themselves together, and come to thee. As I live, saith the LORD, thou shalt surely clothe thee with them all, as with an ornament, and bin",0.7839238
66,6,Some idea of the splendor of that place sixty years ago has already been given. The contrast between the condition of the slaves and that of their masters was marvelously sharp and striking. There wer,Exodus 8:3,"And the river shall bring forth frogs abundantly, which shall go up and come into thine house, and into thy bedchamber, and upon thy bed, and into the house of thy servants, and upon thy people, and i",0.7837048
445,25,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Daniel 11:25,And he shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall be stirred up to battle with a very great and mighty army; but he shall ,0.7835851
114,11,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.7835244
123,12,"In addition to these opportunities, sleeping as I did in the kitchen loft, a room seldom visited by any of the family, I contrived to get a flour-barrel up there and a chair, and upon the head of that",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",0.7826367
652,31,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Psalms 116:10,"I believed, therefore have I spoken: I was greatly afflicted:",0.7822997
169,14,She never allowed me to go there without giving me bread enough to make good the deficiencies of a day or two. Master Thomas at last resolved to endure my behavior no longer; he could keep neither me ,Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",0.78162473
83,8,"One of the commonest sayings to which my ears early became accustomed, was, that it was ""worth but a half a cent to kill a nigger, and half a cent to bury one."" While I heard of numerous murders commi",Hosea 4:14,"I will not punish your daughters when they commit whoredom, nor your spouses when they commit adultery: for themselves are separated with whores, and they sacrifice with harlots: therefore the people ",0.78072906
590,29,"I regret that my engagements and duties were such that I could not then and there accept his invitation, for I could not doubt the sincerity with which it was given, or fail to see the value of compli",1 Kings 20:29,"And he said, Let me go, I pray thee; for our family hath a sacrifice in the city; and my brother, he hath commanded me to be there: and now, if I have found favour in thine eyes, let me get away, I pr",0.7804509
517,27,"I was called forward and responded with all the energy of my soul, for I looked upon suffrage to the Negro as the only measure which could prevent him from being thrust back into slavery. From this ti",Judges 16:17,"That he told her all his heart, and said unto her, There hath not come a razor upon mine head; for I have been a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from ",0.77984697
301,19,"He seemed to me an all-sufficient match to every opponent, whether they spoke in the name of the law or the gospel. His words were full of holy fire, and straight to the point. Something of a hero-wor",Exodus 4:14,"And the anger of the LORD was kindled against Moses, and he said, Is not Aaron the Levite thy brother? I know that he can speak well. And also, behold, he cometh forth to meet thee: and when he seeth ",0.77890503
590,29,"I regret that my engagements and duties were such that I could not then and there accept his invitation, for I could not doubt the sincerity with which it was given, or fail to see the value of compli",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.778816
301,19,"He seemed to me an all-sufficient match to every opponent, whether they spoke in the name of the law or the gospel. His words were full of holy fire, and straight to the point. Something of a hero-wor",Isaiah 29:8,"It shall even be as when an hungry man dreameth, and, behold, he eateth; but he awaketh, and his soul is empty: or as when a thirsty man dreameth, and, behold, he drinketh; but he awaketh, and, behold",0.77875197
668,34,It need not be said to those who knew the character and composition of Senator Conkling that it was impossible for him to tolerate or excuse a broken promise. No man more than he considered a man's wo,Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,0.7779194
301,19,"He seemed to me an all-sufficient match to every opponent, whether they spoke in the name of the law or the gospel. His words were full of holy fire, and straight to the point. Something of a hero-wor",Daniel 10:19,"And said, O man greatly beloved, fear not: peace be unto thee, be strong, yea, be strong. And when he had spoken unto me, I was strengthened, and said, Let my lord speak; for thou hast strengthened me",0.7777164
123,12,"In addition to these opportunities, sleeping as I did in the kitchen loft, a room seldom visited by any of the family, I contrived to get a flour-barrel up there and a chair, and upon the head of that",2 Kings 19:28,For all of my father’s house were but dead men before my lord the king: yet didst thou set thy servant among them that did eat at thine own table. What right therefore have I yet to cry any more unto,0.77695084
668,34,It need not be said to those who knew the character and composition of Senator Conkling that it was impossible for him to tolerate or excuse a broken promise. No man more than he considered a man's wo,Luke 1:73,The oath which he,0.77547705
668,34,It need not be said to those who knew the character and composition of Senator Conkling that it was impossible for him to tolerate or excuse a broken promise. No man more than he considered a man's wo,Romans 14:4,"Who art thou that judgest another man’s servant? to his own master he standeth or falleth. Yea, he shall be holden up: for God is able to make him stand.",0.77499163
123,12,"In addition to these opportunities, sleeping as I did in the kitchen loft, a room seldom visited by any of the family, I contrived to get a flour-barrel up there and a chair, and upon the head of that",Ruth 3:13,"Tarry this night, and it shall be in the morning, that if he will perform unto thee the part of a kinsman, well; let him do the kinsman’s part: but if he will not do the part of a kinsman to thee, the",0.77479565
114,11,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Judges 16:17,"That he told her all his heart, and said unto her, There hath not come a razor upon mine head; for I have been a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from ",0.77359915
10,1,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",0.7727642
665,33,The madness of Guiteau was but the exaggerated madness of other men. It is impossible to measure the evil which this craving madness may yet bring upon the country. Any civil-service reform which will,Romans 14:4,"Who art thou that judgest another man’s servant? to his own master he standeth or falleth. Yea, he shall be holden up: for God is able to make him stand.",0.7723927
364,21,"It was rather hard, after having enjoyed for so long a time equal social privileges, after dining with persons of great literary, social, political, and religious eminence, and never, during the whole",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.77204
66,6,Some idea of the splendor of that place sixty years ago has already been given. The contrast between the condition of the slaves and that of their masters was marvelously sharp and striking. There wer,Daniel 4:11,"The tree grew, and was strong, and the height thereof reached unto heaven, and the sight thereof to the end of all the earth: 4:12 The leaves thereof were fair, and the fruit thereof much, and in it w",0.7717758
123,12,"In addition to these opportunities, sleeping as I did in the kitchen loft, a room seldom visited by any of the family, I contrived to get a flour-barrel up there and a chair, and upon the head of that",Jeremiah 31:20,"Is Ephraim my dear son? is he a pleasant child? for since I spake against him, I do earnestly remember him still: therefore my bowels are troubled for him; I will surely have mercy upon him, saith the",0.7714281
83,8,"One of the commonest sayings to which my ears early became accustomed, was, that it was ""worth but a half a cent to kill a nigger, and half a cent to bury one."" While I heard of numerous murders commi",Jeremiah 31:20,"Is Ephraim my dear son? is he a pleasant child? for since I spake against him, I do earnestly remember him still: therefore my bowels are troubled for him; I will surely have mercy upon him, saith the",0.76932925
114,11,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Hosea 7:13,"Woe unto them! for they have fled from me: destruction unto them! because they have transgressed against me: though I have redeemed them, yet they have spoken lies against me.",0.76864266
66,6,Some idea of the splendor of that place sixty years ago has already been given. The contrast between the condition of the slaves and that of their masters was marvelously sharp and striking. There wer,Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.7679596
10,1,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,0.7669492
83,8,"One of the commonest sayings to which my ears early became accustomed, was, that it was ""worth but a half a cent to kill a nigger, and half a cent to bury one."" While I heard of numerous murders commi",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.7667692
66,6,Some idea of the splendor of that place sixty years ago has already been given. The contrast between the condition of the slaves and that of their masters was marvelously sharp and striking. There wer,1 Corinthians 15:43,It is sown in dishonour; it is raised in glory: it is sown in weakness; it is raised,0.7658569
83,8,"One of the commonest sayings to which my ears early became accustomed, was, that it was ""worth but a half a cent to kill a nigger, and half a cent to bury one."" While I heard of numerous murders commi",1 Corinthians 15:43,It is sown in dishonour; it is raised in glory: it is sown in weakness; it is raised,0.7651478
