query_line,query_chunk_id,query_text,reference_verse,reference_text,similarity
114,11,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Psalms 15:4,"In whose eyes a vile person is contemned; but he honoureth them that fear the LORD. He that sweareth to his own hurt, and changeth not.",0.764433
169,14,She never allowed me to go there without giving me bread enough to make good the deficiencies of a day or two. Master Thomas at last resolved to endure my behavior no longer; he could keep neither me ,Judges 16:17,"That he told her all his heart, and said unto her, There hath not come a razor upon mine head; for I have been a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from ",0.76291656
668,34,It need not be said to those who knew the character and composition of Senator Conkling that it was impossible for him to tolerate or excuse a broken promise. No man more than he considered a man's wo,Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",0.7625973
114,11,"She had changed, and the reader will see that I too, had changed. We were both victims to the same overshadowing evil, she as mistress, I as slave. I will not censure her harshly. # Chapter_12
IN the ",Job 10:15,"If I be wicked, woe unto me; and if I be righteous, yet will I not lift up my head. I am full of confusion; therefore see thou mine",0.76255786
83,8,"One of the commonest sayings to which my ears early became accustomed, was, that it was ""worth but a half a cent to kill a nigger, and half a cent to bury one."" While I heard of numerous murders commi",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.7618829
652,31,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Proverbs 5:9,"Lest thou give thine honour unto others, and thy years unto",0.76175606
665,33,The madness of Guiteau was but the exaggerated madness of other men. It is impossible to measure the evil which this craving madness may yet bring upon the country. Any civil-service reform which will,Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",0.76169366
590,29,"I regret that my engagements and duties were such that I could not then and there accept his invitation, for I could not doubt the sincerity with which it was given, or fail to see the value of compli",1 Kings 25:8,"Ask thy young men, and they will shew thee. Wherefore let the young men find favour in thine eyes: for we come in a good day: give, I pray thee, whatsoever cometh to thine hand unto thy servants, and ",0.761532
652,31,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Psalms 40:7,"Then said I, Lo, I come: in the volume of the book it is written of me,",0.76134324
668,34,It need not be said to those who knew the character and composition of Senator Conkling that it was impossible for him to tolerate or excuse a broken promise. No man more than he considered a man's wo,Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.76028466
517,27,"I was called forward and responded with all the energy of my soul, for I looked upon suffrage to the Negro as the only measure which could prevent him from being thrust back into slavery. From this ti",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",0.7601408
590,29,"I regret that my engagements and duties were such that I could not then and there accept his invitation, for I could not doubt the sincerity with which it was given, or fail to see the value of compli",1 Kings 29:4,"And the princes of the Philistines were wroth with him; and the princes of the Philistines said unto him, Make this fellow return, that he may go again to his place which thou hast appointed him, and ",0.7590411
850,43,"All must see that the effect of this was calculated to weaken our higher claim and to place us at a disadvantage before Haïti and before all the world. ""And now, since the American people have been ma",Romans 16:19,"For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.",0.7590039
590,29,"I regret that my engagements and duties were such that I could not then and there accept his invitation, for I could not doubt the sincerity with which it was given, or fail to see the value of compli",Jeremiah 40:4,"And now, behold, I loose thee this day from the chains which were upon thine hand. If it seem good unto thee to come with me into Babylon, come; and I will look well unto thee: but if it seem ill unto",0.75880766
517,27,"I was called forward and responded with all the energy of my soul, for I looked upon suffrage to the Negro as the only measure which could prevent him from being thrust back into slavery. From this ti",Genesis 47:19,"Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give us seed, that we may live, and not die, that ",0.757815
517,27,"I was called forward and responded with all the energy of my soul, for I looked upon suffrage to the Negro as the only measure which could prevent him from being thrust back into slavery. From this ti",1 Kings 25:8,"Ask thy young men, and they will shew thee. Wherefore let the young men find favour in thine eyes: for we come in a good day: give, I pray thee, whatsoever cometh to thine hand unto thy servants, and ",0.75711703
41,4,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Mark 14:21,"The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.",0.7567638
10,1,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Ezra 7:4,The son of,0.7565844
10,1,"The father might be a freeman and the child a slave. The father might be a white man, glorying in the purity of his Anglo-Saxon blood, and the child ranked with the blackest slaves. Father he might be",Jeremiah 32:8,"So Hanameel mine uncle’s son came to me in the court of the prison according to the word of the LORD, and said unto me, Buy my field, I pray thee, that is in Anathoth, which is in the country of Benja",0.7556035
416,24,"Lossing, the historian), will show by what means the governor of Virginia meant to get me into his power, and that my apprehensions of arrest were not altogether groundless:
There is no reason to doub",1 Chronicles 21:12,"Either three years’ famine; or three months to be destroyed before thy foes, while that the sword of thine enemies overtaketh thee; or else three days the sword of the LORD, even the pestilence, in th",0.755093
150,13,"In addition to the pain of parting from friends, as I supposed, forever, I had the added grief of neglected chances of escape to brood over. I had put off running away until I was now to be placed whe",Genesis 19:19,"Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me,",0.7547196
652,31,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",Luke 22:37,"For I say unto you, that this that is written must yet be accomplished in me, And he was reckoned among the transgressors: for the things concerning me have an end.",0.75465155
18,2,"The day had been an exciting and wearisome one, and I know not where, but I suppose I sobbed myself to sleep; and its balm was never more welcome to any wounded soul than to mine. The reader may be su",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",0.75455225
652,31,"But I meant here only to say a word in conclusion. Forty years of my life have been given to the cause of my people, and if I had forty years more they should all be sacredly given to the same great c",1 Corinthians 13:4,"Charity suffereth long, and is kind; charity envieth not; charity",0.7541545
517,27,"I was called forward and responded with all the energy of my soul, for I looked upon suffrage to the Negro as the only measure which could prevent him from being thrust back into slavery. From this ti",1 Kings 8:48,"And so return unto thee with all their heart, and with all their soul, in the land of their enemies, which led them away captive, and pray unto thee toward their land, which thou gavest unto their fat",0.7541483
665,33,The madness of Guiteau was but the exaggerated madness of other men. It is impossible to measure the evil which this craving madness may yet bring upon the country. Any civil-service reform which will,Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,0.7531185
1,0,"# Chapter_1
IN Talbot County, Eastern Shore, State of Maryland, near Easton, the county town, there is a small district of country, thinly populated, and remarkable for nothing that I know of more tha",Deuteronomy 8:15,"Who led thee through that great and terrible wilderness, wherein were fiery serpents, and scorpions, and drought, where there was no water; who brought thee",0.7527876
18,2,"The day had been an exciting and wearisome one, and I know not where, but I suppose I sobbed myself to sleep; and its balm was never more welcome to any wounded soul than to mine. The reader may be su",Jeremiah 33:11,"The voice of joy, and the voice of gladness, the voice of the bridegroom, and the voice of the bride, the voice of them that shall say, Praise the LORD of hosts: for the LORD is good; for his mercy en",0.7524604
96,9,"I may say here that I regard my removal from Col. Lloyd's plantation as one of the most interesting and fortunate events of my life. Viewing it in the light of human likelihoods, it is quite probable ",Jeremiah 40:4,"And now, behold, I loose thee this day from the chains which were upon thine hand. If it seem good unto thee to come with me into Babylon, come; and I will look well unto thee: but if it seem ill unto",0.75182045
150,13,"In addition to the pain of parting from friends, as I supposed, forever, I had the added grief of neglected chances of escape to brood over. I had put off running away until I was now to be placed whe",Jeremiah 40:4,"And now, behold, I loose thee this day from the chains which were upon thine hand. If it seem good unto thee to come with me into Babylon, come; and I will look well unto thee: but if it seem ill unto",0.7508938
682,36,"The lesson taught by its example and its warning is, that political parties, like individual men, are only strong while they are consistent and honest, and that treachery and deception are only the sa",Proverbs 13:1,A wise son heareth his father’s instruction: but a scorner heareth not rebuke.,0.75013
665,33,The madness of Guiteau was but the exaggerated madness of other men. It is impossible to measure the evil which this craving madness may yet bring upon the country. Any civil-service reform which will,Proverbs 23:20,Be not among winebibbers; among riotous eaters of flesh: 23:21 For the drunkard and the glutton shall come to poverty: and drowsiness shall clothe a man with rags.,0.74946594
799,40,"The Republican party and the nation were pledged to the protection of the constitutional rights of the colored citizens. If it refused to perform its promise, it would be false to its highest trust. A",Isaiah 14:32,"What shall one then answer the messengers of the nation? That the LORD hath founded Zion, and the poor of his people shall trust in it.",0.7482688
396,23,"Y., and will long be remembered there for the surprise and gratification it caused our friends in that city. They were not looking for such exhibitions of enlightened zeal and ability as were there di",Isaiah 29:8,"It shall even be as when an hungry man dreameth, and, behold, he eateth; but he awaketh, and his soul is empty: or as when a thirsty man dreameth, and, behold, he drinketh; but he awaketh, and, behold",0.7481315
682,36,"The lesson taught by its example and its warning is, that political parties, like individual men, are only strong while they are consistent and honest, and that treachery and deception are only the sa",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,0.7478758
682,36,"The lesson taught by its example and its warning is, that political parties, like individual men, are only strong while they are consistent and honest, and that treachery and deception are only the sa",Daniel 11:25,And he shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall be stirred up to battle with a very great and mighty army; but he shall ,0.7474164
733,37,"It is a reciprocal understanding. I do not think that when I ride with an educated, polished rascal he is thereby made my equal, or that when I ride with a numskull it makes him my equal. Social equal",John 7:43,So there was a division among the people because of him.,0.74739265
382,22,"The surrounding country is remarkable for its fertility, and the city itself possesses one of the finest water-powers in the world. It is on the line of the New York Central railroad—a line that, with",Exodus 8:3,"And the river shall bring forth frogs abundantly, which shall go up and come into thine house, and into thy bedchamber, and upon thy bed, and into the house of thy servants, and upon thy people, and i",0.747253
18,2,"The day had been an exciting and wearisome one, and I know not where, but I suppose I sobbed myself to sleep; and its balm was never more welcome to any wounded soul than to mine. The reader may be su",Proverbs 23:20,Be not among winebibbers; among riotous eaters of flesh: 23:21 For the drunkard and the glutton shall come to poverty: and drowsiness shall clothe a man with rags.,0.74713755
682,36,"The lesson taught by its example and its warning is, that political parties, like individual men, are only strong while they are consistent and honest, and that treachery and deception are only the sa",Psalms 25:9,The meek will he guide in judgment: and the meek will he teach his way.,0.74694204
416,24,"Lossing, the historian), will show by what means the governor of Virginia meant to get me into his power, and that my apprehensions of arrest were not altogether groundless:
There is no reason to doub",Acts 23:34,"And when the governor had read the letter, he asked of what province he was. And when he understood that he was of Cilicia; 23:35 I will hear thee, said he, when thine accusers are also come. And he c",0.74630535
665,33,The madness of Guiteau was but the exaggerated madness of other men. It is impossible to measure the evil which this craving madness may yet bring upon the country. Any civil-service reform which will,Isaiah 29:8,"It shall even be as when an hungry man dreameth, and, behold, he eateth; but he awaketh, and his soul is empty: or as when a thirsty man dreameth, and, behold, he drinketh; but he awaketh, and, behold",0.7460714
382,22,"The surrounding country is remarkable for its fertility, and the city itself possesses one of the finest water-powers in the world. It is on the line of the New York Central railroad—a line that, with",Luke 18:2,"Saying, There was in a city a",0.7459989
364,21,"It was rather hard, after having enjoyed for so long a time equal social privileges, after dining with persons of great literary, social, political, and religious eminence, and never, during the whole",2 Peter 1:6,And to knowledge temperance; and to,0.74560297
660,32,"Perhaps a political abolitionist would equally misjudge and underrate the value of the non-voting and moral-suasion party, of which Mr. Garrison was the admitted leader; while in fact the two were the",Luke 12:48,"But he that knew not, and did commit things worthy of stripes, shall be beaten with few stripes. For unto whomsoever much is given, of him shall be much required: and to whom men have committed much, ",0.7454752
738,38,"Of this class I was not one. I knew that however bad the Republican party was, the Democratic party was much worse. The elements of which the Republican party was composed gave better # Chapter_49
SEP",1 Chronicles 25:26,The nineteenth to,0.7453767
445,25,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Proverbs 29:25,The fear of man bringeth a snare: but whoso putteth his trust in the LORD shall be safe.,0.7451895
18,2,"The day had been an exciting and wearisome one, and I know not where, but I suppose I sobbed myself to sleep; and its balm was never more welcome to any wounded soul than to mine. The reader may be su",Nahum 3:15,"There shall the fire devour thee; the sword shall cut thee off, it shall eat thee up like the cankerworm: make thyself many as the cankerworm, make thyself many as the locusts.",0.7446259
18,2,"The day had been an exciting and wearisome one, and I know not where, but I suppose I sobbed myself to sleep; and its balm was never more welcome to any wounded soul than to mine. The reader may be su",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.74379516
682,36,"The lesson taught by its example and its warning is, that political parties, like individual men, are only strong while they are consistent and honest, and that treachery and deception are only the sa",Nahum 3:11,"Thou also shalt be drunken: thou shalt be hid, thou also shalt seek strength because of the enemy.",0.74364364
799,40,"The Republican party and the nation were pledged to the protection of the constitutional rights of the colored citizens. If it refused to perform its promise, it would be false to its highest trust. A",Ephesians 3:6,"That the Gentiles should be fellowheirs, and of the same body, and partakers of his promise in Christ by the gospel: 3:7 Whereof I was made a minister, according to the gift of the grace of God given ",0.7436272
799,40,"The Republican party and the nation were pledged to the protection of the constitutional rights of the colored citizens. If it refused to perform its promise, it would be false to its highest trust. A",Genesis 47:19,"Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give us seed, that we may live, and not die, that ",0.74263275
150,13,"In addition to the pain of parting from friends, as I supposed, forever, I had the added grief of neglected chances of escape to brood over. I had put off running away until I was now to be placed whe",2 Corinthians 11:25,"Thrice was I beaten with rods, once was I stoned, thrice I suffered shipwreck, a night and a day I have been in the deep; 11:26 In journeyings often, in perils of waters, in perils of robbers, in peri",0.7423874
364,21,"It was rather hard, after having enjoyed for so long a time equal social privileges, after dining with persons of great literary, social, political, and religious eminence, and never, during the whole",Isaiah 29:8,"It shall even be as when an hungry man dreameth, and, behold, he eateth; but he awaketh, and his soul is empty: or as when a thirsty man dreameth, and, behold, he drinketh; but he awaketh, and, behold",0.7418281
416,24,"Lossing, the historian), will show by what means the governor of Virginia meant to get me into his power, and that my apprehensions of arrest were not altogether groundless:
There is no reason to doub",2 Kings 24:13,"So Gad came to David, and told him, and said unto him, Shall seven years of famine come unto thee in thy land? or wilt thou flee three months before thine enemies, while they pursue thee? or that ther",0.74105036
416,24,"Lossing, the historian), will show by what means the governor of Virginia meant to get me into his power, and that my apprehensions of arrest were not altogether groundless:
There is no reason to doub",Genesis 42:33,"And the man, the lord of the country, said unto us, Hereby shall I know that ye are true men; leave one of your brethren here with me, and take food for the famine of your households, and be gone: 42:",0.7407258
416,24,"Lossing, the historian), will show by what means the governor of Virginia meant to get me into his power, and that my apprehensions of arrest were not altogether groundless:
There is no reason to doub",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",0.7402625
1,0,"# Chapter_1
IN Talbot County, Eastern Shore, State of Maryland, near Easton, the county town, there is a small district of country, thinly populated, and remarkable for nothing that I know of more tha",Hosea 1:2,"The beginning of the word of the LORD by Hosea. And the LORD said to Hosea, Go, take unto thee a wife of whoredoms and children of whoredoms: for the land hath committed great whoredom, departing from",0.74022293
41,4,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Habakkuk 1:13,"Thou art of purer eyes than to behold evil, and canst not look on iniquity: wherefore lookest thou upon them that deal treacherously, and holdest thy tongue when the wicked devoureth the man that is m",0.7391319
1,0,"# Chapter_1
IN Talbot County, Eastern Shore, State of Maryland, near Easton, the county town, there is a small district of country, thinly populated, and remarkable for nothing that I know of more tha",Ezra 7:4,The son of,0.73905075
738,38,"Of this class I was not one. I knew that however bad the Republican party was, the Democratic party was much worse. The elements of which the Republican party was composed gave better # Chapter_49
SEP",Malachi 1:6,"A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the LORD of hosts unto you, O priests, that despise my",0.73891115
799,40,"The Republican party and the nation were pledged to the protection of the constitutional rights of the colored citizens. If it refused to perform its promise, it would be false to its highest trust. A",Luke 1:73,The oath which he,0.73889315
41,4,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Matthew 26:24,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,0.73806113
1,0,"# Chapter_1
IN Talbot County, Eastern Shore, State of Maryland, near Easton, the county town, there is a small district of country, thinly populated, and remarkable for nothing that I know of more tha",Isaiah 50:2,"Wherefore, when I came, was there no man? when I called, was there none to answer? Is my hand shortened at all, that it cannot redeem? or have I no power to deliver? behold, at my rebuke I dry up the ",0.73800313
41,4,"The family of Captain Anthony never visited the great house, and the Lloyds never came to our house. Equal non-intercourse was observed between Captain Anthony's family and the family of Mr. Seveir, t",Genesis 27:45,"Until thy brother’s anger turn away from thee, and he forget that which thou hast done to him: then I will send, and fetch thee from thence: why should I be deprived also of you",0.73765475
660,32,"Perhaps a political abolitionist would equally misjudge and underrate the value of the non-voting and moral-suasion party, of which Mr. Garrison was the admitted leader; while in fact the two were the",Luke 1:73,The oath which he,0.7375257
445,25,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Isaiah 8:12,"Say ye not, A confederacy, to all them to whom this people shall say, A confederacy; neither fear ye their fear, nor be afraid.",0.73748296
850,43,"All must see that the effect of this was calculated to weaken our higher claim and to place us at a disadvantage before Haïti and before all the world. ""And now, since the American people have been ma",Philippians 2:26,"For he longed after you all, and was full of heaviness, because that ye had heard that he had been sick.",0.7370962
382,22,"The surrounding country is remarkable for its fertility, and the city itself possesses one of the finest water-powers in the world. It is on the line of the New York Central railroad—a line that, with",Isaiah 57:13,"When thou criest, let thy companies deliver thee; but the wind shall carry them all away; vanity shall take them: but he that putteth his trust in me shall possess the land, and shall inherit my holy",0.7370566
445,25,"Those who had stimulated the courage of the North before the election, and had shouted ""Who's afraid?"" were now shaking in their shoes with apprehension and dread. One was for passing laws in the nort",Deuteronomy 32:27,"Were it not that I feared the wrath of the enemy, lest their adversaries should behave themselves strangely, and lest they should say, Our hand is high, and the LORD hath not done all this.",0.735826
454,26,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",1 Kings 9:16,"To morrow about this time I will send thee a man out of the land of Benjamin, and thou shalt anoint him to be captain over my people Israel, that he may save my people out of the hand of the Philistin",0.735662
850,43,"All must see that the effect of this was calculated to weaken our higher claim and to place us at a disadvantage before Haïti and before all the world. ""And now, since the American people have been ma",Ecclesiastes 4:4,"Again, I considered all travail, and every right work, that for this a man is envied of his neighbour. This is also vanity and vexation of spirit.",0.7350227
187,15,"There is a better day coming.""
I shall never be able to narrate half the mental experience through which it was my lot to pass, during my stay at Covey's. I was completely wrecked, changed, and bewild",Jeremiah 40:4,"And now, behold, I loose thee this day from the chains which were upon thine hand. If it seem good unto thee to come with me into Babylon, come; and I will look well unto thee: but if it seem ill unto",0.7348813
382,22,"The surrounding country is remarkable for its fertility, and the city itself possesses one of the finest water-powers in the world. It is on the line of the New York Central railroad—a line that, with",Genesis 47:19,"Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give us seed, that we may live, and not die, that ",0.7348808
454,26,"On the third point he appeared to have less difficulty, though he did not absolutely commit himself. He simply said that he would sign any commission to colored soldiers whom his Secretary of War shou",Ezekiel 5:2,"Thou shalt burn with fire a third part in the midst of the city, when the days of the siege are fulfilled: and thou shalt take a third part, and smite about it with a knife: and a third part thou shal",0.73458874
